Date,InterZone,IntZoneName,CA,CAName,Positive7Day,Population,CrudeRate7DayPositive,multiplier,real_rate_per_OT
2020-09-01,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-02,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-02,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-02,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-02,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-02,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-02,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-02,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-02,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-02,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-02,S02001543,Tranent North (IZ10),S12000010,East Lothian,0,6827,0,14.647722279185587,0
2020-09-02,S02001544,Tranent South (IZ11),S12000010,East Lothian,0,6023,0,16.603021749958494,0
2020-09-02,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-02,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-02,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-02,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-02,S02001549,Haddington South (IZ16),S12000010,East Lothian,0,4777,0,20.933640360058615,0
2020-09-02,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-02,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-02,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-02,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-02,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-02,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-03,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-03,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-03,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-03,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-03,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-03,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-03,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-03,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-03,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-03,S02001543,Tranent North (IZ10),S12000010,East Lothian,0,6827,0,14.647722279185587,0
2020-09-03,S02001544,Tranent South (IZ11),S12000010,East Lothian,0,6023,0,16.603021749958494,0
2020-09-03,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-03,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-03,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-03,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-03,S02001549,Haddington South (IZ16),S12000010,East Lothian,0,4777,0,20.933640360058615,0
2020-09-03,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-03,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-03,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-03,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-03,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-03,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-04,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-04,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-04,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-04,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-04,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-04,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-04,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-04,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-04,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-04,S02001543,Tranent North (IZ10),S12000010,East Lothian,0,6827,0,14.647722279185587,0
2020-09-04,S02001544,Tranent South (IZ11),S12000010,East Lothian,0,6023,0,16.603021749958494,0
2020-09-04,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-04,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-04,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-04,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-04,S02001549,Haddington South (IZ16),S12000010,East Lothian,0,4777,0,20.933640360058615,0
2020-09-04,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-04,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-04,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-04,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-04,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-04,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-05,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-05,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-05,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-05,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-05,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-05,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-05,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-05,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-05,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-05,S02001543,Tranent North (IZ10),S12000010,East Lothian,0,6827,0,14.647722279185587,0
2020-09-05,S02001544,Tranent South (IZ11),S12000010,East Lothian,0,6023,0,16.603021749958494,0
2020-09-05,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-05,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-05,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-05,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-05,S02001549,Haddington South (IZ16),S12000010,East Lothian,0,4777,0,20.933640360058615,0
2020-09-05,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-05,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-05,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-05,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-05,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-05,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-06,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-06,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-06,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-06,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-06,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-06,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-06,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-06,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-06,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-06,S02001543,Tranent North (IZ10),S12000010,East Lothian,0,6827,0,14.647722279185587,0
2020-09-06,S02001544,Tranent South (IZ11),S12000010,East Lothian,0,6023,0,16.603021749958494,0
2020-09-06,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-06,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-06,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-06,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-06,S02001549,Haddington South (IZ16),S12000010,East Lothian,0,4777,0,20.933640360058615,0
2020-09-06,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-06,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-06,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-06,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-06,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-06,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-07,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-07,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-07,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-07,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-07,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-07,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-07,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-07,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-07,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-07,S02001543,Tranent North (IZ10),S12000010,East Lothian,0,6827,0,14.647722279185587,0
2020-09-07,S02001544,Tranent South (IZ11),S12000010,East Lothian,0,6023,0,16.603021749958494,0
2020-09-07,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-07,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-07,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-07,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-07,S02001549,Haddington South (IZ16),S12000010,East Lothian,0,4777,0,20.933640360058615,0
2020-09-07,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-07,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-07,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-07,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-07,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-07,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-08,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-08,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-08,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-08,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-08,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-08,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-08,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-08,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-08,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-08,S02001543,Tranent North (IZ10),S12000010,East Lothian,0,6827,0,14.647722279185587,0
2020-09-08,S02001544,Tranent South (IZ11),S12000010,East Lothian,0,6023,0,16.603021749958494,0
2020-09-08,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-08,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-08,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-08,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-08,S02001549,Haddington South (IZ16),S12000010,East Lothian,3,4777,50 to 99,20.933640360058615,63
2020-09-08,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-08,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-08,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-08,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-08,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-08,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-09,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-09,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-09,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-09,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-09,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-09,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-09,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-09,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-09,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-09,S02001543,Tranent North (IZ10),S12000010,East Lothian,5,6827,50 to 99,14.647722279185587,73
2020-09-09,S02001544,Tranent South (IZ11),S12000010,East Lothian,3,6023,1 to 49,16.603021749958494,50
2020-09-09,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-09,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-09,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-09,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-09,S02001549,Haddington South (IZ16),S12000010,East Lothian,4,4777,50 to 99,20.933640360058615,84
2020-09-09,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-09,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-09,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-09,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-09,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-09,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-10,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-10,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-10,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-10,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-10,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-10,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-10,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-10,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-10,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-10,S02001543,Tranent North (IZ10),S12000010,East Lothian,5,6827,50 to 99,14.647722279185587,73
2020-09-10,S02001544,Tranent South (IZ11),S12000010,East Lothian,3,6023,1 to 49,16.603021749958494,50
2020-09-10,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-10,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-10,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-10,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-10,S02001549,Haddington South (IZ16),S12000010,East Lothian,3,4777,50 to 99,20.933640360058615,63
2020-09-10,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-10,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-10,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-10,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-10,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-10,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-11,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-11,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-11,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-11,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-11,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-11,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-11,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-11,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-11,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-11,S02001543,Tranent North (IZ10),S12000010,East Lothian,6,6827,50 to 99,14.647722279185587,88
2020-09-11,S02001544,Tranent South (IZ11),S12000010,East Lothian,0,6023,0,16.603021749958494,0
2020-09-11,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-11,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-11,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-11,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-11,S02001549,Haddington South (IZ16),S12000010,East Lothian,3,4777,50 to 99,20.933640360058615,63
2020-09-11,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-11,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-11,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-11,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-11,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-11,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-12,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-12,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-12,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-12,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-12,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-12,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-12,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-12,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-12,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-12,S02001543,Tranent North (IZ10),S12000010,East Lothian,7,6827,100 to 199,14.647722279185587,103
2020-09-12,S02001544,Tranent South (IZ11),S12000010,East Lothian,5,6023,50 to 99,16.603021749958494,83
2020-09-12,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-12,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-12,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-12,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-12,S02001549,Haddington South (IZ16),S12000010,East Lothian,3,4777,50 to 99,20.933640360058615,63
2020-09-12,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-12,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-12,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
2020-09-12,S02001553,East Linton & Rural (IZ20),S12000010,East Lothian,0,5462,0,18.30831197363603,0
2020-09-12,S02001554,Dunbar West (IZ21),S12000010,East Lothian,0,5475,0,18.264840182648403,0
2020-09-12,S02001555,Dunbar East (IZ22),S12000010,East Lothian,0,4661,0,21.454623471358076,0
2020-09-13,S02001534,Wallyford/Whitecraig (IZ01),S12000010,East Lothian,0,6902,0,14.488554042306578,0
2020-09-13,S02001535,Musselburgh South (IZ02),S12000010,East Lothian,0,4594,0,21.767522855899,0
2020-09-13,S02001536,Musselburgh West (IZ03),S12000010,East Lothian,0,2947,0,33.9328130302002,0
2020-09-13,S02001537,Musselburgh North (IZ04),S12000010,East Lothian,0,4865,0,20.554984583761563,0
2020-09-13,S02001538,Musselburgh East (IZ05),S12000010,East Lothian,0,4789,0,20.881186051367717,0
2020-09-13,S02001539,Pinkie Braes (IZ06),S12000010,East Lothian,0,2360,0,42.3728813559322,0
2020-09-13,S02001540,Prestonpans West (IZ07),S12000010,East Lothian,0,5666,0,17.649135192375574,0
2020-09-13,S02001541,Prestonpans East (IZ08),S12000010,East Lothian,0,4284,0,23.34267040149393,0
2020-09-13,S02001542,Cockenzie (IZ09),S12000010,East Lothian,0,5694,0,17.562346329469616,0
2020-09-13,S02001543,Tranent North (IZ10),S12000010,East Lothian,7,6827,100 to 199,14.647722279185587,103
2020-09-13,S02001544,Tranent South (IZ11),S12000010,East Lothian,5,6023,50 to 99,16.603021749958494,83
2020-09-13,S02001545,Ormiston (IZ12),S12000010,East Lothian,0,2968,0,33.692722371967655,0
2020-09-13,S02001546,Longniddry & Aberlady (IZ13),S12000010,East Lothian,0,5716,0,17.49475157452764,0
2020-09-13,S02001547,Haddington Rural (IZ14),S12000010,East Lothian,0,6341,0,15.770383220312253,0
2020-09-13,S02001548,Haddington North (IZ15),S12000010,East Lothian,0,4404,0,22.70663033605813,0
2020-09-13,S02001549,Haddington South (IZ16),S12000010,East Lothian,3,4777,50 to 99,20.933640360058615,63
2020-09-13,S02001550,Gullane & Drem (IZ17),S12000010,East Lothian,0,4406,0,22.696323195642307,0
2020-09-13,S02001551,North Berwick North (IZ18),S12000010,East Lothian,0,3235,0,30.91190108191654,0
2020-09-13,S02001552,North Berwick South (IZ19),S12000010,East Lothian,0,4694,0,21.30379207498935,0
